Pharmacy Name,النوع,Location,Detailed_Location ,Phone
الامل,الصيدليات,المنية الضنية,المنيه الاوتوستراد محافظة لبنان الشمالي عقار 798 ملك محمد سالم علم الدين,06/461718
الامل,الصيدليات,بيروت,بيروت-وادي ابو جميل-ميناء الحصن-مسعود ملك شركة سوليدير رقم العقار 995,01/372079-01/366320
الامل,الصيدليات,بعبدا,عين الرمانة-وديع نعيم-ملك رحال عقار 5952,01/396936
الامل,الصيدليات,بعبدا,خلده-المدينة-القبة-ملك محمد عرابي عقار 603,05/800289
الامير,الصيدليات,زحلة,علي النهري-الشارع العام-احمد الفوعاني عقار 252,NA
الامير,الصيدليات,بيروت,المزرعة-سيدي حسن ملك محمد واسامه خالد رقم العقار 8/2143,01/652601
الامير,الصيدليات,عاليه,الشويفات-التيرو-ملك حسين حمود عقار 756,05/431066
الامين,الصيدليات,بعلبك,القاع-حي المشاريع -الطريق العام عقار 8 جوار مائية -ملك عوض الاطرش,70/974019
الامين,الصيدليات,بعبدا,الحدث-حي الجامعة بملكها عقار 620 قسم 6,03/775503
الانوار,الصيدليات,المتن,الجديدة حي الانوار ملك جوزف غانم عقار 384 قسم B IV,01/883324
الاهلية,الصيدليات,المتن,سن الفيل-فنرجيان - السيد بديع الاشقر عقار 426,01/482077
الاوزاعي,الصيدليات,بعبدا,برج البراجنة حي الاوزاعي عقار رقم 246 ملك سامر و عبد القادر مكداشي,03/508023
الاونيون,الصيدليات,بيروت,بيروت-اوستراليا-الروشة-المهدي رقم العقار 2874,01/801166
الايمان,الصيدليات,زحلة,كفرزبد-الشارع العام ملك جوسلين ريمون هلال عقار 2272,08/925305
الايمان,الصيدليات,بعبدا,برج البراجنة-الامام علي-ملك ولهان حمدان عقار 1299,01/475877
الايمان 2000,الصيدليات,بعبدا,الشياح عقار 7027 القسم 7 شارع هادي نصرالله ملك جعفر مصطفى ديب,01/545573
الباسمة الرويسات,الصيدليات,المتن,منطقة رويسات الجديدة العقارية عقار رقم 798 ملك قطايا,01/876139
الباقر,الصيدليات,بعبدا,المريجة-تحويطة الغدير حي التحويطة الغدير شارع البلدية عقار 595 /8 ملك حسن الصباغ,01/465268
البتروني,الصيدليات,المتن,انطلياس -بطريركية الارمن ملك مي جبر عقار 35,04/416300-04/414800
البتول الطبية,الصيدليات,الهرمل,الهرمل عقار رقم 3318 ملك علي محمد ناصر الدين,08/201889
البحصاص,الصيدليات,الكورة,البحصاص رأسمسقا-طلعة ضهر العين ملك مفرج عقار 762,06/411123
البدر,الصيدليات,عاليه,شارون-عاليه الشارع العام ملك سميرة خليل عقار 701,NA
البرج الجديدة,الصيدليات,بعبدا,برج البراجنة-الرمل العالي-ملك اولاد سامي جمال الدي عقار 2995,01/450325
البرجين,الصيدليات,الشوف,البرجين-الشارع العام-ضهر المنفوخ ملك حسيب علي محمود عقار غير ممسوح,07/985476
